occurrenceID	institutionCode	collectionCode	catalogNumber	combined	SamplingDate	recordedBy	Sex	Department	Municipality	Locality	MinElevation	MaxElevation	decimalLatitude	decimalLongitude	Habitat	Order	Family	Species	SnoutVentLength	HeadWidth	MouthWidth	ForearmLength	TibiaLength	FemurLength	FootLength	FootWebbing
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3539	UV	UV-C	11231	UV-C-11231	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	8.5	14.33	13.75	9.2	20.14	19.35	18.85	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3540	UV	UV-C	11232	UV-C-11232	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	27.24	9.29	9.13	6.49	13.17	12.08	13.22	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3541	UV	UV-C	11239	UV-C-11239	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	24.23	8.68	8.43	5.94	13.19	13.19	12.21	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3542	UV	UV-C	11241	UV-C-11241	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	39.02	14.84	13.05	9.29	20.02	18.99	19.72	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3543	UV	UV-C	11243	UV-C-11243	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	27.78	10.3	9.24	6.02	13.56	14.12	11.43	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3544	UV	UV-C	11246	UV-C-11246	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	27.82	10	9.42	6.61	14.69	13.3	13.57	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3545	UV	UV-C	11247	UV-C-11247	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	29.21	9.47	11.13	6.79	13.96	13.46	14.39	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3546	UV	UV-C	11249	UV-C-11249	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	6.17	11.91	12.56	8.65	18.21	18.18	17.09	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3547	UV	UV-C	11252	UV-C-11252	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	24.78	9.02	8.87	5.96	12.38	11.61	10.01	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3548	UV	UV-C	11254	UV-C-11254	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	30	11.04	11.34	6.84	16.38	15.68	15.81	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3549	UV	UV-C	11255	UV-C-11255	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	36.16	12.84	13.59	8.86	19.14	19	18.19	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3550	UV	UV-C	11257	UV-C-11257	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	32.79	13.89	12.82	8.92	18.04	17.4	17.29	Absent
